,CustomerID,probability_churn
0,7590-VHVEG,0.6630244646043058
1,5575-GNVDE,0.08444106054018982
2,7795-CFOCW,0.04303482508786542
3,1452-KIOVK,0.2386189528019177
4,6713-OKOMC,0.3457032167617556
5,6388-TABGU,0.06190173894458761
6,9763-GRSKD,0.05965817243174227
7,7469-LKBCI,0.018705224756569293
8,8091-TTVAX,0.25894949965289055
9,5129-JLPIS,0.4357477937918086
10,3655-SNQYZ,0.02811180350158589
11,8191-XWSZG,0.052247768023136056
12,9959-WOFKT,0.13808000865447687
13,4183-MYFRB,0.7455581913359071
14,1680-VDCWW,0.22166773636736525
15,3638-WEABW,0.012298294002415664
16,6322-HRPFA,0.04427907941029761
17,6865-JZNKO,0.17277630288643103
18,5248-YGIJN,0.0040715774760561345
19,3841-NFECX,0.02520149853571717
20,4929-XIHVW,0.617389688090888
21,6827-IEAUQ,0.08629925046955227
22,7310-EGVHZ,0.6583771129978593
23,3413-BMNZE,0.6822982915311359
24,6234-RAAPL,0.025422195548415655
25,6572-ADKRS,0.5076150860213979
26,8865-TNMNX,0.20493226160853506
27,9489-DEDVP,0.0278005941449198
28,9867-JCZSP,0.0394536354478462
29,4671-VJLCL,0.004351609448826279
30,4080-IIARD,0.25899208399447693
31,3714-NTNFO,0.7943632024444239
32,5948-UJZLF,0.6778668694917888
33,7639-LIAYI,0.02046701797378001
34,2954-PIBKO,0.055102590813545925
35,8012-SOUDQ,0.680185416143781
36,6575-SUVOI,0.23621916287348646
37,4667-QONEA,0.05871819601507679
38,8769-KKTPH,0.24118880622290123
39,5067-XJQFU,0.40259412245393605
40,3957-SQXML,0.012848743728322162
41,5954-BDFSG,0.07641545736995804
42,0434-CSFON,0.7528659382245875
43,1215-FIGMP,0.5712232799648426
44,0526-SXDJP,0.061731686581978445
45,0557-ASKVU,0.1110618036135249
46,5122-CYFXA,0.4819878011190623
47,8627-ZYGSZ,0.35698966583764813
48,3410-YOQBQ,0.054447386866280034
49,3170-NMYVV,0.006144061894817029
50,7410-OIEDU,0.5252434252378085
51,2273-QCKXA,0.5586893325171138
52,0731-EBJQB,0.08031449698229409
53,1891-QRQSA,0.32879280764911195
54,8028-PNXHQ,0.0028837954471463583
55,5630-AHZIL,0.2141916755222602
56,2673-CXQEU,0.4233546802177228
57,6416-JNVRK,0.2115066783693351
58,5590-ZSKRV,0.09598271215354776
59,0191-ZHSKZ,0.2699071144572952
60,3887-PBQAO,0.01764581222483346
61,8108-UXRQN,0.1372752369712499
62,9919-YLNNG,0.3859163628366823
63,0318-ZOPWS,0.0021440618948170287
64,4445-ZJNMU,0.6468655992602531
65,4808-YNLEU,0.060828218796780444
66,1862-QRWPE,0.0021440618948170287
67,2796-NNUFI,0.007267718908549773
68,3016-KSVCP,0.33606026064271666
69,4767-HZZHQ,0.06580809639437243
70,2424-WVHPL,0.5201525477978317
71,7233-PAHHL,0.03433591466212727
72,6067-NGCEU,0.23033485966462627
73,9848-JQJTX,0.10766771969445434
74,9803-FTJCG,0.06760605251178338
75,3212-KXOCR,0.00230544609671245
76,6380-ARCEH,0.7559578664841479
77,3679-XASPY,0.45990873404552535
78,7123-WQUHX,0.2028853584510205
79,5386-THSLQ,0.1414910242280628
80,6180-YBIQI,0.5861074321064795
81,6728-DKUCO,0.15915064601210682
82,9750-BOOHV,0.034127394640408176
83,8597-CWYHH,0.4339561024126687
84,2848-YXSMW,0.0
85,4549-ZDQYY,0.14776806293001107
86,5712-AHQNN,0.6848697595919186
87,5256-SKJGO,0.16825061915192935
88,3071-VBYPO,0.16442418471581166
89,9560-BBZXK,0.01349703742784065
90,8402-OOOHJ,0.00274667484120118
91,9445-ZUEQE,0.061901687614852034
92,1091-SOZGA,0.2758604098943272
93,2928-HLDBA,0.25106885822237623
94,6497-TILVL,0.10251150206278994
95,7219-TLZHO,0.17069791632598216
96,4622-YNKIJ,0.16271280960906917
97,6734-PSBAW,0.00114230641409106
98,3930-ZGWVE,0.7079279888999791
99,2639-UGMAZ,0.11189055793610346
100,2876-GZYZC,0.8637183964487646
101,8587-XYZSF,0.030478536137644043
102,7799-LGRDP,0.0009377565830396018
103,7850-VWJUU,0.41553785413431354
